OpenAlex_ID,Q_Score_Original,Rank_Original,Title,Q_Score_Penalized,Rank_Penalized,Has_Self_Citation,Rank_Change,Score_Change_Percent
W2097281067,0.8513896017886334,1,TUBE,0.7152175496792256,1,True,0,-15.994093869989973
W2974598553,0.4461279827317953,2,Too Much Data: Prices and Inefficiencies in Data Markets,0.4461279827317953,2,False,0,0.0
W3123243120,0.39574962650796597,3,Nonrivalry and the Economics of Data,0.39574962650796597,3,False,0,0.0
W2168402580,0.1445273944067525,4,Query-based data pricing,0.14612570967617391,4,False,0,1.1058908769386513
W2910976764,0.11249849367019155,5,Nonrivalry and the Economics of Data,0.11249849367019155,5,False,0,0.0
W2473283431,0.09565221438844687,6,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,0.09565338394538118,6,False,0,0.0012227180957503087
W2790400697,0.09142709939804998,7,"A Survey on Big Data Market: Pricing, Trading and Protection",0.09143502334197516,7,False,0,0.008666953209006694
W2010653253,0.08053228972205898,8,A survey of smart data pricing,0.08125866841591156,8,False,0,0.9019719870868399
W1841962286,0.043075670004375434,17,A Priced Public Sensing Framework for Heterogeneous IoT Architectures,0.07645639946255008,9,False,8,77.49323331426761
W2045522464,0.06266794260076913,11,Understanding Mobile Traffic Patterns of Large Scale Cellular Towers in Urban Environment,0.06266794260076913,10,False,1,0.0
W1777686370,0.06049170593092729,12,The Pricing Behaviour of Firms in the Euro Area: New Survey Evidence,0.06049170593092729,11,False,1,0.0
W2150449738,0.05976879037742265,13,The Pricing Behaviour of Italian Firms: New Survey Evidence on Price Stickiness,0.05976879037742265,12,False,1,0.0
W2293940046,0.05359494267943152,15,Query-Based Data Pricing,0.05360616237940197,13,False,2,0.020934251273591394
W2612128091,0.05060998430599031,16,QIRANA,0.05113388625046629,14,False,2,1.0351750779222562
W2289113545,0.07698086596401413,9,Smart data pricing models for the internet of things: a bundling strategy approach,0.04212350036799681,15,False,-6,-45.28055791462767
W2018362551,0.04111650086050756,18,The challenges of personal data markets and privacy,0.04111650086050756,16,False,2,0.0
W1994174199,0.06716692934672293,10,Smart data pricing: To share or not to share?,0.03753816859010821,17,False,-7,-44.11212637646105
W2950902070,0.05756457902034474,14,"A Survey of Smart Data Pricing: Past Proposals, Current Plans, and Future Trends",0.032380132377222225,18,False,-4,-43.74990153966332
W2743929098,0.030473817552093593,19,Data pricing strategy based on data quality,0.030482696892306465,19,False,0,0.02913760377311694
W2533772775,0.02872594144473915,20,A pricing model for Big Personal Data,0.028686756577353752,20,False,0,-0.1364093408767063
W3215634159,0.028676470588235296,21,Coalition Game and Blockchain-Based Optimal Data Pricing Scheme for Ride Sharing Beyond 5G,0.028676470588235296,21,False,0,0.0
W3121615946,0.02626575630252101,22,Data Pricing for Blockchain-based Car Sharing: A Stackelberg Game Approach,0.02626575630252101,22,False,0,0.0
W3124517880,0.024726855406768167,24,Optimal Sticky Prices under Rational Inattention,0.024726855406768167,23,False,1,0.0
W2734426755,0.024969393394394194,23,An Online Pricing Mechanism for Mobile Crowdsensing Data Markets,0.023794909388334663,24,False,-1,-4.703694589245453
W2765365501,0.021543640306015358,25,Pricing of Data Products in Data Marketplaces,0.021552519646228226,25,False,0,0.041215598138207216
W3084177365,0.02080003941483187,26,A Survey on Data Pricing: From Economics to Data Science,0.02080003941483187,26,False,0,0.0
W2759182208,0.016843011983897146,27,Pricing privacy – the right to know the value of your personal data,0.016846396250905563,27,False,0,0.02009300362460724
W1998665878,0.012849966442467909,29,When Network Effect Meets Congestion Effect,0.012849966442467909,28,False,1,0.0
W2920282816,0.013838266452699073,28,Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective,0.010380611173767013,29,True,-1,-24.98618805144964
W2180742472,0.006184512246307276,30,Smart data pricing,0.0076629666998181255,30,False,0,23.90575674570978
